#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 520000      7.57e+00      2.28e-03      7.57e-02      1.81e-02    1.7e-04
 522000      4.49e+00      4.52e-03      4.48e-02      2.61e-02    1.7e-04
 524000      9.22e+00      9.22e-03      9.21e-02      1.31e-02    1.7e-04
 526000      1.10e+01      1.76e-03      1.10e-01      1.99e-02    1.7e-04
 528000      7.31e+00      6.37e-03      7.28e-02      2.93e-02    1.6e-04
 530000      7.25e+00      5.66e-03      7.24e-02      2.05e-02    1.6e-04
 532000      1.01e+01      2.27e-03      1.01e-01      1.40e-02    1.6e-04
 534000      5.17e+00      4.87e-03      5.17e-02      7.02e-03    1.6e-04
 536000      7.61e+00      5.56e-03      7.59e-02      2.20e-02    1.6e-04
 538000      6.24e+00      1.35e-03      6.23e-02      2.26e-02    1.6e-04
 540000      1.84e+00      1.23e-03      1.83e-02      1.00e-02    1.6e-04
 542000      4.56e+00      3.64e-03      4.56e-02      6.96e-03    1.6e-04
 544000      7.52e+00      1.77e-03      7.51e-02      1.88e-02    1.6e-04
 546000      8.62e+00      4.28e-03      8.62e-02      1.91e-02    1.5e-04
 548000      6.31e+00      3.44e-03      6.30e-02      2.33e-02    1.5e-04
 550000      3.07e+00      7.09e-03      3.05e-02      1.53e-02    1.5e-04
 552000      2.26e+00      7.76e-03      2.23e-02      1.70e-02    1.5e-04
 554000      5.62e+00      6.52e-04      5.61e-02      1.70e-02    1.5e-04
 556000      7.96e+00      4.88e-03      7.95e-02      1.77e-02    1.5e-04
 558000      6.28e+00      3.89e-04      6.27e-02      1.82e-02    1.5e-04
 560000      8.82e+00      1.01e-03      8.82e-02      1.47e-02    1.5e-04
 562000      1.82e+00      5.38e-03      1.81e-02      9.87e-03    1.5e-04
 564000      5.99e+00      4.92e-03      5.97e-02      3.34e-02    1.5e-04
 566000      5.97e+00      1.92e-03      5.97e-02      1.05e-02    1.4e-04
 568000      7.62e+00      3.22e-03      7.62e-02      7.40e-03    1.4e-04
 570000      1.19e+01      1.23e-03      1.19e-01      1.34e-02    1.4e-04
 572000      6.90e+00      8.65e-04      6.89e-02      2.77e-02    1.4e-04
 574000      3.22e+00      6.63e-03      3.22e-02      8.41e-03    1.4e-04
 576000      7.18e+00      7.50e-04      7.10e-02      5.34e-02    1.4e-04
 578000      8.27e+00      7.56e-03      8.25e-02      2.14e-02    1.4e-04
 580000      8.01e+00      4.44e-03      8.01e-02      1.02e-02    1.4e-04
 582000      4.25e+00      6.87e-03      4.24e-02      2.18e-02    1.4e-04
 584000      7.22e+00      2.33e-03      7.21e-02      1.62e-02    1.4e-04
 586000      3.66e+00      4.52e-03      3.65e-02      1.50e-02    1.3e-04
 588000      2.40e+00      6.37e-03      2.39e-02      1.33e-02    1.3e-04
 590000      1.19e+01      3.08e-03      1.19e-01      4.21e-02    1.3e-04
 592000      6.64e+00      7.71e-03      6.63e-02      2.52e-02    1.3e-04
 594000      7.01e+00      3.37e-03      7.01e-02      2.32e-02    1.3e-04
 596000      6.71e+00      2.13e-03      6.70e-02      1.76e-02    1.3e-04
 598000      9.23e+00      2.01e-03      9.22e-02      1.55e-02    1.3e-04
 600000      7.82e+00      5.62e-03      7.82e-02      1.27e-02    1.3e-04
 602000      4.31e+00      8.81e-04      4.31e-02      9.48e-03    1.3e-04
 604000      7.38e+00      5.12e-03      7.38e-02      1.06e-02    1.3e-04
 606000      7.03e+00      4.25e-03      7.03e-02      1.31e-02    1.3e-04
 608000      3.98e+00      7.74e-03      3.97e-02      1.30e-02    1.3e-04
 610000      7.95e+00      2.00e-02      7.93e-02      2.15e-02    1.2e-04
 612000      4.77e+00      1.98e-03      4.76e-02      1.14e-02    1.2e-04
 614000      5.84e+00      1.52e-03      5.83e-02      1.37e-02    1.2e-04
 616000      7.07e+00      7.15e-03      7.07e-02      1.74e-02    1.2e-04
 618000      9.09e+00      3.28e-03      9.09e-02      2.19e-02    1.2e-04
 620000      7.28e+00      6.91e-03      7.27e-02      2.19e-02    1.2e-04
 622000      4.43e+00      2.66e-04      4.41e-02      1.85e-02    1.2e-04
 624000      1.29e+00      2.02e-03      1.29e-02      6.24e-03    1.2e-04
 626000      7.21e+00      2.58e-03      7.20e-02      1.62e-02    1.2e-04
 628000      8.16e+00      3.55e-03      8.15e-02      1.75e-02    1.2e-04
 630000      9.58e+00      7.20e-03      9.57e-02      2.51e-02    1.2e-04
 632000      7.11e+00      1.13e-03      7.10e-02      1.94e-02    1.2e-04
 634000      7.75e+00      7.59e-03      7.75e-02      1.48e-02    1.1e-04
 636000      6.87e+00      1.27e-04      6.87e-02      4.66e-03    1.1e-04
 638000      8.58e+00      1.22e-02      8.58e-02      1.75e-02    1.1e-04
 640000      6.47e+00      2.79e-03      6.46e-02      1.89e-02    1.1e-04
 642000      5.13e+00      9.40e-03      5.12e-02      1.51e-02    1.1e-04
 644000      7.49e+00      3.20e-03      7.49e-02      1.84e-02    1.1e-04
 646000      9.35e+00      1.89e-03      9.33e-02      2.98e-02    1.1e-04
 648000      1.16e+01      9.20e-04      1.16e-01      1.62e-02    1.1e-04
 650000      1.01e+01      8.99e-04      1.01e-01      2.61e-02    1.1e-04
 652000      1.55e+00      3.40e-03      1.54e-02      1.03e-02    1.1e-04
 654000      7.05e+00      3.14e-03      7.04e-02      6.74e-03    1.1e-04
 656000      6.84e+00      1.83e-03      6.83e-02      1.73e-02    1.1e-04
 658000      3.96e+00      4.84e-03      3.96e-02      8.38e-03    1.1e-04
 660000      7.83e+00      1.47e-03      7.82e-02      1.19e-02    1.0e-04
